Designator,Mid X,Mid Y,Rotation,Layer
C1,115.25,-127.81,180,top
C10,108.712,-114.681,270,top
C11,111.1504,-114.7064,270,top
C12,99.3,-104.24,180,top
C13,105.6,-114.56,90,top
C14,98.612,-121.788,180,top
C15,98.01,-106.04,180,top
C16,102.646,-122.318,90,top
C17,96.73,-107.78,180,top
C18,95.659,-109.681,180,top
C19,116.356,-103.365,180,top
C2,115.54,-109.624,180,top
C20,114.102,-96.355,180,top
C21,123.89,-101.66,180,top
C22,93.733,-131.818,0,top
C23,102.21,-132.61,0,top
C24,96.763,-129.118,270,top
C25,105.54,-130.24,270,top
C27,111.531,-65.931,0,top
C28,103.49,-141.42,90,bottom
C29,96.12,-137.41,0,top
C3,114.44,-107.79,180,top
C30,124.043,-76.096,90,top
C31,121.159,-76.105,90,top
C33,102.1334,-110.5662,90,top
C34,94.2816,-85.9702,0,top
C35,82.17,-87.72,180,top
C36,94.2416,-89.3802,0,top
C37,94.2416,-92.7402,0,top
C38,101.783,-68.1616,270,top
C39,105.13,-67.45,0,top
C4,108.485,-122.318,90,top
C40,97.383,-65.268,180,top
C41,97.4054,-63.0058,180,top
C42,96.6698,-73.128,0,top
C43,105.864,-69.487,180,top
C44,95.93,-97.14,0,top
C45,93.472,-66.42,0,top
C46,102.3516,-89.6402,180,top
C47,102.3116,-92.6102,180,top
C49,114.6,-60.93,180,top
C5,112.16,-121.32,90,top
C51,131.53,-84.09,0,top
C52,131.53,-85.7,0,top
C6,113.14,-106.03,180,top
C7,112.268,-114.6556,270,top
C8,111.81,-104.24,180,top
C9,109.982,-114.71,270,top
D1,119.38,-88.392,0,top
FID1,78.74,-55.9054,0,top
FID2,125.2728,-50.292,0,top
FID3,78.8416,-139.065,0,top
FID4,132.2578,-139.065,0,top
FID5,125.27,-50.31,0,bottom
FID6,78.75,-55.9,0,bottom
FID7,132.26,-139.06,0,bottom
FID8,78.85,-139.07,0,bottom
J1,85.825,-67.35,90,bottom
J2,80.47,-131.61,270,bottom
J3,114.43,-143.58,270,bottom
J4,93.431,-144.63215,180,bottom
J7,84.27,-76.54,270,bottom
J8,130.048,-92.456,270,bottom
J9,87.205,-54.09,0,bottom
L1,106.0006,-81.9214,270,top
Q1,91.719887,-80.066364,90,top
Q2,97.6816,-80.1102,270,top
Q4,110.37,-69.78,180,top
R1,126.837,-101.658,180,top
R10,94.8288,-64.0836,270,top
R12,99.1602,-73.1234,0,top
R13,90.6496,-64.079,270,top
R14,92.0573,-64.079,270,top
R15,93.465,-64.079,90,top
R16,94.33,-102.04,180,top
R2,96.15,-138.48,0,top
R3,126.872,-86.047,180,top
R4,109.955,-71.76,180,top
R5,127.254,-98.91,180,top
R6,122.207,-115.554,180,top
R7,109.85,-74.41,0,top
R8,113.77,-70.44,270,top
R9,101.092,-111.5568,90,top
SW1,130.186,-104.448,0,bottom
SW2,130.082,-113.155,0,bottom
U1,115.19,-125.02,90,top
U10,93.04,-99.54,270,top
U11,112.563,-63.38,0,top
U12,117.43,-72.61,90,bottom
U14,105.612,-116.068,0,bottom
U2,116.422,-99.265,270,top
U3,94.265,-68.155,90,bottom
U5,93.753,-129.308,180,top
U6,102.32,-130.24,180,top
U7,101.3968,-116.0272,180,top
U8,82.64,-81.77,270,top
U9,98.201691,-69.4222,270,top
Y1,122.595,-78.349,180,top
